sample_id,source_paper,district_region,ward_location,site_name,source_type,latitude,longitude,fluoride_mg_L,pH,EC_uS_cm,TDS_ppm,above_WHO_limit_1_5,above_TZ_limit_4_0,notes,sample_collection_date,year,season,total_season_rain,soil_source_latitude,soil_source_longitude,soil_ph,soil_calcium_extractable,soil_magnesium_extractable,soil_carbon_organic,soil_iron_extractable,soil_match_distance_km,glim_id,lithology_detail,lithology_code,lithology_class,lithology_match_method,lithology_match_distance_km
CB23-01,"Chondo & Banyikwa 2023 (Data in Brief, DOI: 10.1016/j.dib.2023.109239)",Dodoma,DODOMA-NORTH-SOUTH,KIKILO,Groundwater/borehole,-4.54425,35.698017,0.02,8.27,145.0,83.4,NO,NO,Nitrate: 16.3 ppm,2021 - 2022,2022,long_dry,8.983363792,-4.44734,35.58254,6.675,635.742,239.435,3.08,95.33,16.732752944062057,AFR7274,mt____,mt,metamorphic_rocks,within_polygon,0.0
CB23-02,"Chondo & Banyikwa 2023 (Data in Brief, DOI: 10.1016/j.dib.2023.109239)",Dodoma,DODOMA-NORTH-SOUTH,KOLOWASI,Groundwater/borehole,-4.7367,35.8275,1.04,7.83,897.0,434.0,NO,NO,Nitrate: 21.8 ppm,2021 - 2022,2022,long_dry,9.194503918,-4.73381,35.83211,6.49,1622.835,445.134,7.26,133.015,0.6035278428318783,AFR7274,mt____,mt,metamorphic_rocks,within_polygon,0.0
CB23-03,"Chondo & Banyikwa 2023 (Data in Brief, DOI: 10.1016/j.dib.2023.109239)",Dodoma,DODOMA-NORTH-SOUTH,BICHA,Groundwater/borehole,-4.91865,35.805867,0.77,8.15,1085.0,530.0,NO,NO,Nitrate: 9.8 ppm,2021 - 2022,2022,long_dry,8.906698413,-4.94836,35.81647,7.095,2290.262,629.906,5.97,100.36,3.5062195024369434,AFR7274,mt____,mt,metamorphic_rocks,within_polygon,0.0
CB23-04,"Chondo & Banyikwa 2023 (Data in Brief, DOI: 10.1016/j.dib.2023.109239)",Dodoma,DODOMA-NORTH-SOUTH,CHEMBA,Groundwater/borehole,-5.2335,35.891483,1.1,7.57,488.0,36.0,NO,NO,Nitrate: 47.0 ppm,2021 - 2022,2022,long_dry,14.47844601,-5.23525,35.89169,5.881,650.844,152.177,5.17,90.253,0.19593672344449842,AFR7274,mt____,mt,metamorphic_rocks,within_polygon,0.0
CB23-05,"Chondo & Banyikwa 2023 (Data in Brief, DOI: 10.1016/j.dib.2023.109239)",Dodoma,DODOMA-NORTH-SOUTH,CHENENE,Groundwater/borehole,-5.570383,35.844567,0.88,8.2,914.0,464.0,NO,NO,Nitrate: 12.7 ppm,2021 - 2022,2022,long_dry,15.75067792,-5.24606,35.89822,5.353,348.645,102.125,4.8,110.865,36.54894045648882,AFR7274,mt____,mt,metamorphic_rocks,within_polygon,0.0
CB23-06,"Chondo & Banyikwa 2023 (Data in Brief, DOI: 10.1016/j.dib.2023.109239)",Dodoma,DODOMA-NORTH-SOUTH,MAYAMAYA,Groundwater/borehole,-5.792633,35.801617,2.01,8.28,967.0,546.0,YES,NO,Nitrate: 8.3 ppm,2021 - 2022,2022,long_dry,5.705522911,-6.03314,36.07566,5.92,676.786,374.908,4.72,81.838,40.42152783393962,AFR7274,mt____,mt,metamorphic_rocks,within_polygon,0.0
CB23-07,"Chondo & Banyikwa 2023 (Data in Brief, DOI: 10.1016/j.dib.2023.109239)",Dodoma,DODOMA-NORTH-SOUTH,ZANKA,Groundwater/borehole,-5.84645,35.761967,1.29,8.18,1074.0,553.0,NO,NO,Nitrate: 18.7 ppm,2021 - 2022,2022,long_dry,1.510715805,-6.03314,36.07566,5.92,676.786,374.908,4.72,81.838,40.43016732049954,AFR7274,mt____,mt,metamorphic_rocks,within_polygon,0.0
CB23-08,"Chondo & Banyikwa 2023 (Data in Brief, DOI: 10.1016/j.dib.2023.109239)",Dodoma,DODOMA-NORTH-SOUTH,WEYULA,Groundwater/borehole,-6.026067,35.7547,1.22,7.83,2891.0,1493.0,NO,NO,Nitrate: 22.3 ppm,2021 - 2022,2022,long_dry,0.068556556,-6.03314,36.07566,5.92,676.786,374.908,4.72,81.838,35.50044417341832,AFR7274,mt____,mt,metamorphic_rocks,within_polygon,0.0
CB23-09,"Chondo & Banyikwa 2023 (Data in Brief, DOI: 10.1016/j.dib.2023.109239)",Dodoma,DODOMA-NORTH-SOUTH,KISASA,Groundwater/borehole,-6.1695,35.786883,0.98,8.1,1008.0,529.0,NO,NO,Nitrate: 28.4 ppm,2021 - 2022,2022,long_dry,0.122097176,-6.3788,35.67198,6.396,895.54,205.265,5.56,100.242,26.51285491759182,AFR7274,mt____,mt,metamorphic_rocks,within_polygon,0.0
CB23-10,"Chondo & Banyikwa 2023 (Data in Brief, DOI: 10.1016/j.dib.2023.109239)",Dodoma,DODOMA-NORTH-SOUTH,UGUZI,Groundwater/borehole,-6.136217,36.04055,0.99,8.24,1308.0,670.0,NO,NO,Nitrate: 123.0 ppm,2021 - 2022,2022,long_dry,0.164791495,-6.10974,36.09518,7.728,6147.87,1753.535,10.52,72.764,6.719269960496546,AFR7274,mt____,mt,metamorphic_rocks,within_polygon,0.0
