sample_id,source_paper,district_region,ward_location,site_name,source_type,latitude,longitude,fluoride_mg_L,pH,EC_uS_cm,TDS_ppm,above_WHO_limit_1_5,above_TZ_limit_4_0,notes,sample_collection_date,year,season,total_season_rain,glim_id,lithology_code,lithology_class,lithology_detail,soil_ph,calcium_extractable,magnesium_extractable,carbon_organic,iron_extractable,distance_to_soil
CB23-01,"Chondo & Banyikwa 2023 (Data in Brief, DOI: 10.1016/j.dib.2023.109239)",Dodoma,DODOMA-NORTH-SOUTH,KIKILO,Groundwater/borehole,-4.54425,35.698017,0.02,8.27,145,83.4,NO,NO,Nitrate: 16.3 ppm,2021 - 2022,2022,long_dry,8.983363792,AFR7274,mt,metamorphic_rocks,mt____,,,,,,16716.75865
CB23-02,"Chondo & Banyikwa 2023 (Data in Brief, DOI: 10.1016/j.dib.2023.109239)",Dodoma,DODOMA-NORTH-SOUTH,KOLOWASI,Groundwater/borehole,-4.7367,35.8275,1.04,7.83,897,434,NO,NO,Nitrate: 21.8 ppm,2021 - 2022,2022,long_dry,9.194503918,AFR7274,mt,metamorphic_rocks,mt____,6.49,1622.835,445.134,7.26,133.015,603.575246
CB23-03,"Chondo & Banyikwa 2023 (Data in Brief, DOI: 10.1016/j.dib.2023.109239)",Dodoma,DODOMA-NORTH-SOUTH,BICHA,Groundwater/borehole,-4.91865,35.805867,0.77,8.15,1085,530,NO,NO,Nitrate: 9.8 ppm,2021 - 2022,2022,long_dry,8.906698413,AFR7274,mt,metamorphic_rocks,mt____,,,,,,3492.332635
CB23-04,"Chondo & Banyikwa 2023 (Data in Brief, DOI: 10.1016/j.dib.2023.109239)",Dodoma,DODOMA-NORTH-SOUTH,CHEMBA,Groundwater/borehole,-5.2335,35.891483,1.1,7.57,488,36,NO,NO,Nitrate: 47.0 ppm,2021 - 2022,2022,long_dry,14.47844601,AFR7274,mt,metamorphic_rocks,mt____,5.881,650.844,152.177,5.17,90.253,195.0469375
CB23-05,"Chondo & Banyikwa 2023 (Data in Brief, DOI: 10.1016/j.dib.2023.109239)",Dodoma,DODOMA-NORTH-SOUTH,CHENENE,Groundwater/borehole,-5.570383,35.844567,0.88,8.2,914,464,NO,NO,Nitrate: 12.7 ppm,2021 - 2022,2022,long_dry,15.75067792,AFR7274,mt,metamorphic_rocks,mt____,,,,,,36385.60116
CB23-06,"Chondo & Banyikwa 2023 (Data in Brief, DOI: 10.1016/j.dib.2023.109239)",Dodoma,DODOMA-NORTH-SOUTH,MAYAMAYA,Groundwater/borehole,-5.792633,35.801617,2.01,8.28,967,546,YES,NO,Nitrate: 8.3 ppm,2021 - 2022,2022,long_dry,5.705522911,AFR7274,mt,metamorphic_rocks,mt____,,,,,,40387.86943
CB23-07,"Chondo & Banyikwa 2023 (Data in Brief, DOI: 10.1016/j.dib.2023.109239)",Dodoma,DODOMA-NORTH-SOUTH,ZANKA,Groundwater/borehole,-5.84645,35.761967,1.29,8.18,1074,553,NO,NO,Nitrate: 18.7 ppm,2021 - 2022,2022,long_dry,1.510715805,AFR7274,mt,metamorphic_rocks,mt____,,,,,,40442.48695
CB23-08,"Chondo & Banyikwa 2023 (Data in Brief, DOI: 10.1016/j.dib.2023.109239)",Dodoma,DODOMA-NORTH-SOUTH,WEYULA,Groundwater/borehole,-6.026067,35.7547,1.22,7.83,2891,1493,NO,NO,Nitrate: 22.3 ppm,2021 - 2022,2022,long_dry,0.068556556,AFR7274,mt,metamorphic_rocks,mt____,,,,,,35573.02103
CB23-09,"Chondo & Banyikwa 2023 (Data in Brief, DOI: 10.1016/j.dib.2023.109239)",Dodoma,DODOMA-NORTH-SOUTH,KISASA,Groundwater/borehole,-6.1695,35.786883,0.98,8.1,1008,529,NO,NO,Nitrate: 28.4 ppm,2021 - 2022,2022,long_dry,0.122097176,AFR7274,mt,metamorphic_rocks,mt____,,,,,,26427.64939
CB23-10,"Chondo & Banyikwa 2023 (Data in Brief, DOI: 10.1016/j.dib.2023.109239)",Dodoma,DODOMA-NORTH-SOUTH,UGUZI,Groundwater/borehole,-6.136217,36.04055,0.99,8.24,1308,670,NO,NO,Nitrate: 123.0 ppm,2021 - 2022,2022,long_dry,0.164791495,AFR7274,mt,metamorphic_rocks,mt____,,,,,,6725.424136
CB23-11,"Chondo & Banyikwa 2023 (Data in Brief, DOI: 10.1016/j.dib.2023.109239)",Dodoma,DODOMA-NORTH-SOUTH,KALEMSO,Groundwater/borehole,-6.498217,35.83785,1.06,7.76,1715,877,NO,NO,Nitrate: 26.3 ppm,2021 - 2022,2022,long_dry,0.080135351,AFR7274,mt,metamorphic_rocks,mt____,,,,,,15607.68146
CB23-12,"Chondo & Banyikwa 2023 (Data in Brief, DOI: 10.1016/j.dib.2023.109239)",Dodoma,DODOMA-NORTH-SOUTH,MANZASE,Groundwater/borehole,-6.607633,35.930283,0.9,7.68,3999,2110,NO,NO,Nitrate: 194.8 ppm,2021 - 2022,2022,long_dry,3.543186918,AFR7274,mt,metamorphic_rocks,mt____,,,,,,29885.2978
CB23-13,"Chondo & Banyikwa 2023 (Data in Brief, DOI: 10.1016/j.dib.2023.109239)",Dodoma,DODOMA-NORTH-SOUTH,CHIPOBORO,Groundwater/borehole,-6.8617,36.040033,1.79,8.35,2483,1260,YES,NO,Nitrate: 35.5 ppm,2021 - 2022,2022,long_dry,0.080301101,AFR7274,mt,metamorphic_rocks,mt____,,,,,,5606.53779
CB23-14,"Chondo & Banyikwa 2023 (Data in Brief, DOI: 10.1016/j.dib.2023.109239)",Dodoma,DODOMA-NORTH-SOUTH,MAKUTAPORA,Groundwater/borehole,-7.140183,35.895467,1.15,8.15,3213,1610,NO,NO,Nitrate: 21.5 ppm,2021 - 2022,2022,long_dry,0.636852053,AFR7274,mt,metamorphic_rocks,mt____,,,,,,13351.51321
CB23-15,"Chondo & Banyikwa 2023 (Data in Brief, DOI: 10.1016/j.dib.2023.109239)",Dodoma,DODOMA-EAST-WEST,UKWAMANI,Groundwater/borehole,-6.137867,36.850883,0.28,8.31,160,83.6,NO,NO,Nitrate: 17.1 ppm,2021 - 2022,2022,long_dry,24.45140695,AFR7274,mt,metamorphic_rocks,mt____,,,,,,7399.856626
CB23-16,"Chondo & Banyikwa 2023 (Data in Brief, DOI: 10.1016/j.dib.2023.109239)",Dodoma,DODOMA-EAST-WEST,AZIMIO,Groundwater/borehole,-6.08265,36.580233,1.98,8.09,1800,996,YES,NO,Nitrate: 13.1 ppm,2021 - 2022,2022,long_dry,11.01318677,AFR7274,mt,metamorphic_rocks,mt____,,,,,,6591.199017
CB23-17,"Chondo & Banyikwa 2023 (Data in Brief, DOI: 10.1016/j.dib.2023.109239)",Dodoma,DODOMA-EAST-WEST,MBANDE,Groundwater/borehole,-6.103867,36.32095,0.25,7.95,4012,2530,NO,NO,Nitrate: 295.8 ppm,2021 - 2022,2022,long_dry,0.644720567,AFR7274,mt,metamorphic_rocks,mt____,,,,,,5209.037465
CB23-18,"Chondo & Banyikwa 2023 (Data in Brief, DOI: 10.1016/j.dib.2023.109239)",Dodoma,DODOMA-EAST-WEST,UGUZI,Groundwater/borehole,-6.136217,36.04055,0.99,8.24,1308,670,NO,NO,Nitrate: 123.0 ppm,2021 - 2022,2022,long_dry,0.164791495,AFR7274,mt,metamorphic_rocks,mt____,,,,,,6725.424136
CB23-19,"Chondo & Banyikwa 2023 (Data in Brief, DOI: 10.1016/j.dib.2023.109239)",Dodoma,DODOMA-EAST-WEST,KISASA,Groundwater/borehole,-6.1695,35.786883,0.98,8.1,1008,529,NO,NO,Nitrate: 28.4 ppm,2021 - 2022,2022,long_dry,0.122097176,AFR7274,mt,metamorphic_rocks,mt____,,,,,,26427.64939
CB23-20,"Chondo & Banyikwa 2023 (Data in Brief, DOI: 10.1016/j.dib.2023.109239)",Dodoma,DODOMA-EAST-WEST,NALA,Groundwater/borehole,-6.08925,35.61405,1.34,8.12,1063,547,NO,NO,Nitrate: 44.5 ppm,2021 - 2022,2022,long_dry,0.071075343,AFR7274,mt,metamorphic_rocks,mt____,,,,,,32677.54628
CB23-21,"Chondo & Banyikwa 2023 (Data in Brief, DOI: 10.1016/j.dib.2023.109239)",Dodoma,DODOMA-EAST-WEST,MPAMANTWA,Groundwater/borehole,-5.992833,35.3765,0.58,7.63,395,210,NO,NO,Nitrate: 27.9 ppm,2021 - 2022,2022,long_dry,0.028742376,AFR7274,mt,metamorphic_rocks,mt____,,,,,,36832.80218
CB23-22,"Chondo & Banyikwa 2023 (Data in Brief, DOI: 10.1016/j.dib.2023.109239)",Dodoma,DODOMA-EAST-WEST,BAHI,Groundwater/borehole,-5.9515,35.309833,1.18,7.53,338,185,NO,NO,Nitrate: 14.5 ppm,2021 - 2022,2022,long_dry,0.020623698,AFR9465,su,unconsolidated_sediments,suad__,,,,,,34946.04064
CB23-23,"Chondo & Banyikwa 2023 (Data in Brief, DOI: 10.1016/j.dib.2023.109239)",Singida,SINGIDA-NORTH-SOUTH,SHELUI,Groundwater/borehole,-4.359367,34.20115,1.07,7.74,1043,563,NO,NO,Nitrate: 2.5 ppm,2021 - 2022,2022,long_dry,0.689194072,AFR9225,su,unconsolidated_sediments,suad__,7.892,2360.506,404.502,6.76,98.747,746.9872849
